AT,V,AP,RH,PE
8.34,40.77,1010.84,90.01,478.7733005
23.64,58.49,1011.4,74.2,444.0433005
29.74,56.9,1007.15,41.91,437.0533005
19.07,49.69,1007.22,76.79,451.3833005
11.8,40.66,1017.13,97.2,466.1366995
13.97,39.16,1016.05,84.6,469.2533005
22.1,71.29,1008.2,75.38,440.6433005
14.47,41.76,1021.98,78.41,462.2933005
31.25,69.51,1010.25,36.83,427.0633005
6.77,38.18,1017.8,81.13,482.6033005
28.28,68.67,1006.36,69.9,435.29
22.99,46.93,1014.15,49.42,453.1166995
29.3,70.04,1010.95,61.23,427.9566995
8.14,37.49,1009.04,80.33,480.66
16.92,44.6,1017.34,58.75,458.4633005
22.72,64.15,1021.14,60.34,453.13
18.14,43.56,1012.83,47.1,461.71
11.49,44.63,1020.44,86.04,469.3733005
9.94,40.46,1018.9,68.51,472.0333005
23.54,41.1,1002.05,38.05,450.2666995
14.9,52.05,1015.11,77.33,463.1133005
33.8,64.96,1004.88,49.37,427.28
25.37,68.31,1011.12,70.99,443.4666995
7.29,41.04,1024.06,89.19,473.0033005
13.55,40.71,1019.13,75.44,465.5033005
6.39,35.57,1025.53,77.23,489.3966995
26.64,62.44,1011.81,72.46,436.9633005
7.84,41.39,1018.21,91.92,485.66
21.82,58.66,1011.71,64.37,452.16
27.17,67.45,1015.67,49.03,428.1633005
13.42,41.23,994.17,95.79,470.5266995
20.77,56.85,1012.4,83.63,442.85
8.29,36.08,1020.38,81.53,481.5533005
30.98,67.45,1015.18,45.4,435.2966995
31.96,71.29,1008.39,47.51,433.04
15.83,52.75,1024.3,58.34,460.3066995
22.56,70.79,1005.85,93.09,436.8466995
25.91,75.6,1018.23,62.65,443.2
8.24,39.61,1017.99,78.42,477.9
24.66,60.29,1018,59.56,446.9666995
29.31,68.67,1006.18,63.38,437.2766995
21.48,66.91,1008.58,84.49,447.42
18.28,44.71,1016.99,33.71,463.9866995
26.96,65.34,1015.05,46.93,441.81
16.01,65.46,1014,87.68,454.16
27.37,63.73,1009.79,65.25,435.5333005
16.3,39.63,1004.64,85.61,464.11
23.8,48.6,1002.43,67.32,442.5966995
8.19,41.66,1016.57,75.38,483.4933005
25.28,67.69,1009.05,68.54,445.34
21.47,70.32,1011.72,88.36,438.2933005
30.54,67.45,1014.37,32.97,433.0566995
18.3,44.06,1017.95,63.24,458.0266995
25.82,72.39,1003.4,86.33,431.2733005
31.12,69.13,1009.61,56.54,429.41
15.99,39.63,1006.09,89.92,466.6566995
8.42,42.28,1008.4,87.78,480.2033005
23.7,69.23,1011.73,73.18,438.8566995
15.71,40.12,1012.81,97.46,464.3066995
29.11,74.9,1003.31,74.01,434.1366995
23.73,61.02,1009.71,78.7,440.5133005
28.26,65.34,1014.56,43.4,441.03
15.92,41.2,1016.04,73.37,468.91
33.4,70.8,1009.17,57.01,430.7533005
31.92,68.3,1015.58,41.55,430.07
26.87,74.99,1002.48,71.91,437.78
5.23,40.78,1025.13,92.74,481.4133005
15.72,41.76,1023.07,66.95,462.19
17.74,50.88,1015.56,89.78,456.0033005
27.13,59.54,1004.33,73.27,438.32
25.82,66.49,1013.2,60.32,432.6433005
34.2,68.14,1002.7,56.09,427.05
19.13,68.61,1010.65,94.92,448.69
11.77,41.06,1021.45,76.63,475.88
10.25,41.46,1018.67,84.41,477.5733005
23.82,48.92,1010.48,44.45,446.85
30.1,66.25,1009.38,65.41,436.6966995
29.92,69.75,1009.12,67.15,443.2066995
29.63,66.75,1018.08,58.46,433.26
30.61,77.17,1009.49,73.19,432.1666995
16.18,50.88,1014.06,100.09,455.14
31.66,73.91,1004.49,68.13,429.5533005
29.14,61.5,1009.64,39.95,437.76
18.4,43.96,1012.4,77.81,462.9233005
15.86,38.62,1016.65,67.51,462.58
6.31,42.07,1004.61,77.74,481.5633005
23.4,72.99,1009.48,88.82,436.8033005
33.62,77.17,1009.38,63.71,429.3233005
6.89,43.65,1019.87,72.77,482.2933005
27.41,69.98,1008.51,65.49,433.3466995
26.37,54.5,1014.48,66.31,450.0733005
26.58,59.39,1014.49,65.87,437.7533005
15.25,43.02,1012.04,41.43,468.9366995
21.24,41.67,1012.6,49.27,461.5166995
24.98,58.05,1011.69,69.97,447.15
26.63,64.44,1012.66,61.19,440.2933005
18.87,52.08,1005.25,99.19,449.61
5.12,40.78,1025.45,96.88,482.9866995
31.1,71.32,1008.09,45.87,437.54
7.91,39.96,1023.57,88.44,477.2266995
14.97,58.2,1019.52,81.13,460.3866995
28.92,61.02,1011.19,56.13,438.4666995
22.92,61.9,1013.27,78.32,446.08
12.55,38.91,1012.58,75.44,474.35
9.38,41.44,1015.09,86.8,483.6666995
10.28,41.46,1018.44,85.23,477.9533005
30.31,77.24,1008.02,67.84,435.28
25.34,71.06,1007.74,92.52,436.5666995
30.47,70.02,1009.65,62.03,434.0133005
20.18,56.53,1020.3,77.1,452.4333005
21.31,46.97,1014.08,62.57,455.76
22.1,74.87,1009.4,85.78,441.1233005
20.09,63.94,1020.82,74.16,447.7633005
22.36,58.79,1016.69,73.6,447.4666995
9.43,37.14,1013.03,74.99,473.57
28.86,49.3,1003.93,52.85,434.0433005
23.25,70.32,1009.28,86.52,437.96
22.7,60.84,1019.15,71.48,438.59
21.3,59.39,1013.83,84.53,442.5033005
19.94,44.9,1008.52,74.69,461.1766995
14.97,43.67,1011.13,87.33,465.54
13.83,40.78,1024.85,73.08,457.1433005
23.39,71.25,1005.22,93.7,433.9733005
21.48,47.43,1006.88,63.54,447.4933005
22.63,58.41,1013.69,90.32,443.7233005
20.01,45.09,1014.21,38.19,453.96
20.52,43.79,1015.9,68.1,463.93
13.58,49.83,1008.9,86.8,467.5266995
14.38,44.84,1024.59,81.68,471.6
28.53,69.84,1004.46,68.03,429.4266995
13.89,35.71,1016.4,65.49,466.8333005
25.93,69.34,1008.91,79.43,432.3733005
17.84,61.27,1020.1,70.68,456.2766995
6.28,41.06,1020.96,90.91,488.0833005
8.16,39.64,1011.21,85.56,483.4866995
18.61,67.71,1004.07,84.49,441.8633005
16.23,43.72,1009.96,83.01,456.1933005
8.66,41.01,1022.51,98.55,470.4533005
19.53,66.54,1013.72,81.46,452.8966995
10.17,40.46,1018.54,68.21,470.33
6.48,40.27,1010.55,82.12,484.9733005
12.69,40.75,1016.05,82.92,472.68
23.77,61.87,1009.8,54.83,447.4266995
14.43,43.5,1021.86,83.14,464.8733005
28.25,57.19,1007.99,67.9,436.99
12.26,39.96,1011.79,79.06,472.5766995
14.55,42.74,1027.29,66.64,459.4766995
24.57,51.95,1005.8,70.07,449.8566995
10.25,41.26,1007.44,98.08,476.03
21.96,51.43,1007.28,89.96,444.5766995
9.82,39.64,1010.79,69.22,477.93
18.58,44.6,1016.61,48.15,457.3533005
20.57,44.9,1008.39,62.69,456.18
8.61,41.04,1024.81,95.6,471.9133005
9.99,43.52,1022.95,99.67,471.9333005
13.97,52.05,1012.05,85.36,461.9333005
16.76,43.67,1011.27,70.55,462.44
25.58,47.01,1014.5,63.53,456.0966995
17.34,46.48,1007.18,83.15,450.3533005
19.13,66.86,1012.95,71.24,453.31
12.75,40.64,1020.44,83.17,466.93
29.46,49.3,1003.88,54.1,438.0766995
15.59,52.75,1024.3,59.93,460.5766995
14.2,43.02,1012.18,57.07,472.3766995
14.05,40.35,1011.52,66.21,473.8333005
32.35,77.95,1014.76,60.88,432.72
21.41,56.9,1007.03,79.41,443.1166995
10.61,37.5,1008.8,100.13,472.9
19.13,40.79,1004.47,91.7,456.1233005
17.28,44.06,1018.15,66.93,462.05
24.79,50.78,1008.78,61.88,443.5933005
28.66,50.05,1006.08,47.74,435.94
12.91,41.16,1011.9,89.19,471.0033005
17.32,43.7,1015.13,61.66,462.7933005
18.74,59.21,1018.3,91.55,449.77
26.69,70.36,1006.82,68.29,435.04
12.28,40.55,1005.72,98.56,472.47
14.46,44.78,1007.64,67.03,459.31
30.54,70.17,999.42,64.32,434.62
27.58,66.48,1004.82,51.23,437.0466995
32.17,73.21,1001.43,69.86,432.3466995
26.23,59.87,1012.93,66.62,445.4533005
11.69,35.76,1019.02,55.6,470.0133005
14.73,39.82,1012.67,80.82,468.7033005
12.36,48.04,1012.8,93.59,468.37
9.52,40.96,1023.48,86.49,481.8833005
27.32,73.42,1012.07,86.3,431.0333005
23.81,73.17,1012.13,86.13,439.8166995
7.92,42.28,1008.55,81.68,483.0433005
23.58,58.82,1009.68,81.38,445.01
20.78,60.84,1018.66,80.4,444.1133005
19.68,68.28,1002.62,71.57,454.1766995
14.12,40.92,1022.46,73.28,459.76
22.97,62.4,1010.25,75.18,445.3
6.89,39.37,1020.21,74.17,488.6066995
19.98,56.53,1020.22,73.53,454.89
21.71,60.27,1015.74,89.76,441.19
23.02,59.21,1011.74,83.18,442.2066995
27.71,69.51,1009.65,58.38,436.7466995
10.46,37.5,1013.12,76.74,470.4533005
27.18,62.66,1009.89,52.83,440.4533005
25.56,50.05,1005.67,69.29,442.49
19.69,39.72,1001.49,60.34,458.2566995
31.37,76.86,997.34,62.94,431.03
14.17,41.67,1013.4,72.77,469.7133005
15.6,43.71,1024.88,80.37,465.0466995
25.3,71.58,1010.18,87.36,435.6766995
7.09,39.37,1020.07,73.26,487
6.07,41.14,1027.57,86.98,478.4833005
9.86,38.38,1018.22,85.35,477.8533005
14.73,40.35,1011.15,65.2,468.3233005
31.32,74.33,1012.92,36.48,427.8633005
6.14,38.5,1012.4,75.35,490.9666995
27.92,69.23,1013.21,44.43,435.62
25.63,58.86,1014.86,52.75,443.84
16.37,36.99,1006.37,90.11,463.76
28.31,65.71,1014.67,59.29,448.9666995
24.44,69.84,1005.34,80.37,430.3
11.33,41.5,1013.58,88.7,473.3033005
23.87,63.94,1019.02,44.28,445.11
21.14,48.78,1020.39,86.2,450.35
22.24,60.07,1015.93,62.25,447.8466995
23.07,70.47,1008.64,83.37,440.7466995
25.95,59.14,1016.42,67.03,436.7533005
16.44,43.96,1013.66,76.31,468.57
20.66,41.54,1014.68,79.7,461.55
15.01,39.52,1017.53,72,466.3133005
20.51,63.86,1020.65,75.36,448.8866995
24.1,52.84,1006.47,47.58,446.3966995
9.38,40.46,1019.29,75.77,475.8066995
27.49,71.94,1008.25,68.29,426.5633005
32.84,68.14,1003.59,43.88,423.4733005
20.83,44.78,1008.51,35.9,460.6
28.69,67.25,1017.71,44.6,434.5033005
9.35,44.03,1011.02,88.11,477.9566995
17.37,41.23,998.79,68.44,462.7866995
14.84,41.48,1017.26,63.42,458.5933005
27.88,68.94,1007.68,75.68,435.04
17.83,43.72,1008.64,78.72,452.1533005
7.64,42.28,1008.46,84.29,483.0733005
25.67,74.78,1010.24,68.87,442.1866995
23.1,51.3,1011.93,80.05,453.8766995
27.13,69.45,1013.9,51.16,432.7633005
26.95,70.8,1009.73,82.95,435.0933005
19.4,42.44,1013.19,58.63,461.4666995
13.5,44.92,1023.87,87.17,468.85
11.97,41.04,1026.42,70.75,470.5166995
18.11,58.95,1016.61,89.17,452.5833005
24.1,71.29,1007.96,67.56,441.0933005
20.29,65.27,1013.17,74.94,445.52
21.82,65.27,1013.86,72.81,447.43
29.45,75.6,1018.12,50.68,435.6033005
10.87,38.38,1020.85,69.78,477.03
17.36,39.53,1008.28,68.87,456.57
24.97,58.95,1017.19,56.24,440.03
13.72,45.09,1012.95,87.41,467.9466995
26.49,61.86,1012.55,74.24,438.5033005
8.25,41.26,1020.59,91.84,475.17
12.8,44.9,1007.58,66.6,468.6566995
17.08,40.12,1012.17,81.5,457.81
31.4,71.06,1008.44,74.77,431.6333005
8.26,44.71,1020.85,68.82,485.19
21.22,59.15,1014.68,59.71,449.2533005
26.1,62.91,1012.44,60.91,446.05
19.91,51.19,1008,90.23,450.9366995
14.56,40.69,1015.48,73.73,471.0166995
10.22,41.74,1022.65,83.58,479.01
29.12,67.83,1008.05,46.86,434.1666995
16.97,39.16,1005.7,69.13,460.2966995
26.19,49.3,1003.69,65.88,438.4233005
23.65,66.05,1019.6,78.21,444.6066995
29.53,70.94,1007.22,70.68,434.1366995
19.69,56.65,1020.84,72.14,455.07
33.71,69.98,1013.09,42.62,433.6966995
32.14,75.08,1005.35,49.92,439.22
29.28,77.17,1009.4,76.3,433.14
7.01,37.8,1021.47,62.84,485.6566995
30.47,68.24,1009.55,64.98,429.6466995
29.13,47.93,1002.5,49.1,435.61
11.86,39.85,1013,66.92,479.9966995
26.16,52.36,1013.62,58.52,451.3733005
10.56,39.13,1010.19,87.12,464.8466995
8.58,40.72,1022.04,87.55,482.6666995
14.26,40.92,1022.07,73.96,460.38
23.48,73.67,1007.07,88.49,437.19
5.54,45.87,1008.69,95.91,479.7266995
16.98,43.99,1021.65,81.17,454.3633005
30.08,67.25,1017.6,53.09,434.01
10.63,39.61,1020,72.42,476.99
30.36,74.87,1008.96,61.87,433.6033005
